Item type,Authors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Book title,Date published,ISBN,ISSN,URLs,DOI,PMID,Abstract,Keywords,Chapter,Pages cited
Journal Article,"Ollerton J,Winfree R,Tarrant S",How many flowering plants are pollinated by animals?,Oikos,2011,120,3,321-326,,,2011,,0030-1299,http://dx.doi.org/10.1111/j.1600-0706.2010.18644.x,10.1111/j.1600-0706.2010.18644.x,,"It is clear that the majority of flowering plants are pollinated by insects and other animals, with a minority utilising abiotic pollen vectors, mainly wind. However there is no accurate published calculation of the proportion of the ca 352 000 species of angiosperms that interact with pollinators. Widely cited figures range from 67% to 96% but these have not been based on firm data. We estimated the number and proportion of flowering plants that are pollinated by animals using published and unpublished community-level surveys of plant pollination systems that recorded whether each species present was pollinated by animals or wind. The proportion of animal-pollinated species rises from a mean of 78% in temperate-zone communities to 94% in tropical communities. By correcting for the latitudinal diversity trend in flowering plants, we estimate the global number and proportion of animal pollinated angiosperms as 308 006, which is 87.5% of the estimated species-level diversity of flowering plants. Given current concerns about the decline in pollinators and the possible resulting impacts on both natural communities and agricultural crops, such estimates are vital to both ecologists and policy makers. Further research is required to assess in detail the absolute dependency of these plants on their pollinators, and how this varies with latitude and community type, but there is no doubt that plant-pollinator interactions play a significant role in maintaining the functional integrity of most terrestrial ecosystems. \textcopyright 2011 The Authors. Oikos \textcopyright 2011 Nordic Society Oikos.",Scopus,,
Journal Article,"Elias MA,Borges FJ,Bergamini LL,Franceschinelli EV,Sujii ER",Climate change threatens pollination services in tomato crops in Brazil,"Agriculture, Ecosystems and Environment",2017,239,,257-264,Elsevier B.V.,,2017,,0167-8809,http://dx.doi.org/10.1016/j.agee.2017.01.026,10.1016/j.agee.2017.01.026,,"Understanding how climate change may affect species distribution helps predict how ecosystem services, such as pollination, could be impaired in the future. We examine the potential consequences of climate change on the geographical distribution of five native bee species and estimate the possible effects of bee distribution shifts on tomato crops in Brazil. Ensemble forecasting was implemented through five algorithms in two carbon emission scenarios to predict range shifts for five tomato-visiting bee species for the year 2100. We then calculated the total tomato crop area in the cells with at least 50% bee suitability, for each bee species, in each scenario. Results showed that all species will undergo a reduction in suitable areas in both scenarios. Bombus morio had the greatest area reduction in 2100 under the optimistic and pessimistic scenarios: near 38% and 71%, respectively. Centris tarsata had the smaller area reduction under the same scenarios: 8.5% and 19.5% respectively. The high agreement between tomato crops and bee distribution observed in the present will also be reduced in both scenarios for all species, especially in the pessimistic scenario. B. morio had the highest reduction in range due to habitat suitability and will be restricted to some parts of southeastern and southern Brazil. Over 60% of the tomato crop area presently within the distribution of B. morio will become climatically unsuitable in the pessimistic emission scenario. This study indicates that the predicted climate change may negatively impact several species associated with tomato crops in Brazil by the year 2100. This is troubling, as it could result in tomato production losses, which would bring economic and environmental losses to the tomato-producing regions with implications for pollinator conservation.","Ecosystem services,Modeling,Pollinator,Scopus,Solanum lycopersicum,Species conservation",,
Journal Article,"Chambers LE,Altwegg R,Barbraud C,Barnard P,Beaumont LJ,Crawford RJ,Durant JM,Hughes L,Keatley MR,Low M,Morellato PC,Poloczanska ES,Ruoppolo V,Vanstreels RE,Woehler EJ,Wolfaardt AC",Phenological Changes in the Southern Hemisphere,PLoS ONE,2013,8,10,,,,2013,,1932-6203,http://dx.doi.org/10.1371/journal.pone.0075514;https://www.ncbi.nlm.nih.gov/pubmed/24098389,10.1371/journal.pone.0075514,24098389,"Current evidence of phenological responses to recent climate change is substantially biased towards northern hemisphere temperate regions. Given regional differences in climate change, shifts in phenology will not be uniform across the globe, and conclusions drawn from temperate systems in the northern hemisphere might not be applicable to other regions on the planet. We conduct the largest meta-analysis to date of phenological drivers and trends among southern hemisphere species, assessing 1208 long-term datasets from 89 studies on 347 species. Data were mostly from Australasia (Australia and New Zealand), South America and the Antarctic/subantarctic, and focused primarily on plants and birds. This meta-analysis shows an advance in the timing of spring events (with a strong Australian data bias), although substantial differences in trends were apparent among taxonomic groups and regions. When only statistically significant trends were considered, 82% of terrestrial datasets and 42% of marine datasets demonstrated an advance in phenology. Temperature was most frequently identified as the primary driver of phenological changes; however, in many studies it was the only climate variable considered. When precipitation was examined, it often played a key role but, in contrast with temperature, the direction of phenological shifts in response to precipitation variation was difficult to predict a priori. We discuss how phenological information can inform the adaptive capacity of species, their resilience, and constraints on autonomous adaptation. We also highlight serious weaknesses in past and current data collection and analyses at large regional scales (with very few studies in the tropics or from Africa) and dramatic taxonomic biases. If accurate predictions regarding the general effects of climate change on the biology of organisms are to be made, data collection policies focussing on targeting data-deficient regions and taxa need to be financially and logistically supported. \textcopyright 2013 Chambers et al.",Scopus,,
Journal Article,"Faust MN,Iler AM",Pollinator-mediated reproductive consequences of altered co-flowering under climate change conditions depend on abiotic context,Climate Change Ecology,2022,3,,,Elsevier Inc.,,2022-12,,2666-9005,http://dx.doi.org/10.1016/J.ECOCHG.2021.100043,10.1016/J.ECOCHG.2021.100043,,"Climate change is altering patterns of temporal co-occurrence among species, such as the degree of co-flowering among plant species. Although much is known about how co-flowering affects pollination and plant reproduction, how these interactions are mediated by changes in abiotic conditions is unclear. Using a short-term field experiment based on a long-term flowering phenology dataset, we examine how changes in co-flowering between Linum lewisii and Potentilla pulcherrima affect the pollination and reproductive success of Linum in control and water addition scenarios. Linum is co-flowering less than it used to with Potentilla as the climate changes. We therefore removed Potentilla flowers to alter the degree of co-flowering from 0 to 100%; half of these plots received additional water to relieve drought stress. Linum plants experiencing less overlap with Potentilla had a higher proportion of conspecific pollen on their stigmas in both watered and unwatered plots. Plants experiencing less overlap also produced more seeds per plant, but only in the watering treatment. There was no evidence of pollen limitation of reproduction, but watered plants produced more seeds. These results show that plants that co-flowered to a lesser extent with Potentilla had enhanced reproductive output, probably because they received a higher proportion of Linum pollen, but these biotic effects were only detectable when the plants were less water-limited. This study provides empirical evidence that climate-driven changes in co-flowering can alter reproduction via competition for pollination, and that these biotic effects can be mediated by abiotic conditions.","Competition for pollination,Drought,Heterospecific pollen transfer,Phenology,Plant-climate interactions,Scopus,Synchrony",,
Journal Article,"Xie Y,Thammavong HT,Park DS",The ecological implications of intra- and inter-species variation in phenological sensitivity,New Phytologist,2022,236,2,760-773,John Wiley and Sons Inc,,2022-10,,1469-8137,http://dx.doi.org/10.1111/NPH.18361;https://www.ncbi.nlm.nih.gov/pubmed/35801834,10.1111/NPH.18361,35801834,"Plant–pollinator mutualisms rely upon the synchrony of interacting taxa. Climate change can disrupt this synchrony as phenological responses to climate vary within and across species. However, intra- and interspecific variation in phenological responses is seldom considered simultaneously, limiting our understanding of climate change impacts on interactions among taxa across their ranges. We investigated how variation in phenological sensitivity to climate can alter ecological interactions simultaneously within and among species using natural history collections and citizen science data. We focus on a unique system, comprising a wide-ranged spring ephemeral with varying color morphs (Claytonia virginica) and its specialist bee pollinator (Andrena erigeniae). We found strongly opposing trends in the phenological sensitivities of plants vs their pollinators. Flowering phenology was more sensitive to temperature in warmer regions, whereas bee phenology was more responsive in colder regions. Phenological sensitivity varied across flower color morphs. Temporal synchrony between flowering and pollinator activity was predicted to change heterogeneously across the species' ranges in the future. Our work demonstrates the complexity and fragility of ecological interactions in time and the necessity of incorporating variation in phenological responses across multiple axes to understand how such interactions will change in the future.","Scopus,Virginia spring beauty,ecoregion,flowering,occurrence,phenological mismatch,spring beauty miner bee",,
Journal Article,"Robbirt KM,Roberts DL,Hutchings MJ,Davy AJ",Potential disruption of pollination in a sexually deceptive orchid by climatic change,Current Biology,2014,24,23,2845-2849,Elsevier Ltd,,2014,,1879-0445,http://dx.doi.org/10.1016/j.cub.2014.10.033;https://www.ncbi.nlm.nih.gov/pubmed/25454786,10.1016/j.cub.2014.10.033,25454786,"Warmer springs advance many phenological events, including flowering time in plants and the flight time of insects [1]. Pollination by insects, an ecosystem service of immense economic and conservation importance [2], depends on synchrony between insect activity and flowering time. If plants and their pollinators show different phenological responses to climate warming, pollination could fail. Information about the effects of warming on specific plant-insect mutualisms is difficult to obtain from complex pollination networks [3]. In contrast, the extraordinarily specific deceptions evolved by orchids [4] that attract a very narrow range of pollinators allow direct examination of the potential for climatic warming to disrupt synchrony. Here we show that a sexually deceptive orchid and the solitary bee on which it depends for pollination will diverge in phenology with increasing spring temperature. Male bees inadvertently pollinate the orchid flowers during pseudocopulation. Analysis of museum specimens (1893-2007) and recent field-based records (1975-2009) showed that flight date of the solitary bee Andrena nigroaenea is advanced more by higher temperatures than is flowering date in the deceptive orchid Ophrys sphegodes. Male bees emerged slightly earlier than females, which attract male copulatory attentions away from the deceptive flowers. Warming by as little as 2°C increased both the probability of male flight and the proportion of females flying in the bee population before orchid flowering; this would reduce the frequency of pseudocopulation and thus lower pollination success rate in the orchid. Our results demonstrate a significant potential for coevolved plant-pollinator relationships to be disrupted by climatic warming.",Scopus,,
Journal Article,"Rafferty NE,Diez JM,Bertelsen CD",Changing Climate Drives Divergent and Nonlinear Shifts in Flowering Phenology across Elevations,Current Biology,2020,30,3,432-441.e3,Elsevier Ltd.,,2020,,0960-9822,https://doi.org/10.1016/j.cub.2019.11.071;http://dx.doi.org/10.1016/j.cub.2019.11.071;https://www.ncbi.nlm.nih.gov/pubmed/31902725,10.1016/j.cub.2019.11.071,31902725,"Climate change is known to affect regional weather patterns and phenology; however, we lack understanding of how climate drives phenological change across local spatial gradients. This spatial variation is critical for determining whether subpopulations and metacommunities are changing in unison or diverging in phenology. Divergent responses could reduce synchrony both within species (disrupting gene flow among subpopulations) and among species (disrupting interspecific interactions in communities). We also lack understanding of phenological change in environments where life history events are frequently aseasonal, such as the tropical, arid, and semi-arid ecosystems that cover vast areas. Using a 33-year-long dataset spanning a 1,267-m semi-arid elevational gradient in the southwestern United States, we test whether flowering phenology diverged among subpopulations within species and among five communities comprising 590 species. Applying circular statistics to test for changes in year-round flowering, we show flowering has become earlier for all communities except at the highest elevations. However, flowering times shifted at different rates across elevations likely because of elevation-specific changes in temperature and precipitation, indicating diverging phenologies of neighboring communities. Subpopulations of individual species also diverged at mid-elevation but converged in phenology at high elevation. These changes in flowering phenology among communities and subpopulations are undetectable when data are pooled across the gradient. Furthermore, we show that nonlinear changes in flowering times over the 33-year record are obscured by traditional calculations of long-term trends. These findings reveal greater spatiotemporal complexity in phenological responses than previously recognized and indicate climate is driving phenological reshuffling across local spatial gradients. Using 33 years of data, Rafferty et al. test whether flowering times have diverged for neighboring communities comprising 590 species across an elevational gradient. Divergent and nonlinear shifts in flowering time are related to elevation-specific changes in temperature and precipitation and will likely alter species interactions and gene flow.","Scopus,circular statistics,communities,metacommunities,plant-pollinator interactions,plasticity,precipitation,semi-arid ecosystems,subpopulations,temperature",,
Journal Article,"Feehan J,Harley M,Van Minnen J",Climate change in Europe. 1. Impact on terrestrial ecosystems and biodiversity. A review,Agronomy for Sustainable Development,2009,29,3,409-421,,,2009,,1774-0746,http://dx.doi.org/10.1051/agro:2008066,10.1051/agro:2008066,,"Ecosystems have an essential role in providing services to humankind such as nutrient cycling, pest control, pollination, quality of life, and hydrological, atmospheric and climatic regulation. About 60% of the world's known ecosystems are currently used unsustainably. In Europe, the richness and abundance of biodiversity is undergoing significant decline, partly due to climate change. This article outlines the impacts of climate change on biodiversity by showing both observed and projected changes in the distribution and phenology of plants and animals (phenology refers to changes in the timing of seasonal events). The four major findings are the following. (1) Concerning the distribution of plant species, climate change is responsible for the observed northward and uphill distribution shifts of many European plant species. By the late 21st century, distributions of European plant species are projected to have shifted several hundred kilometres to the north, forests are likely to have contracted in the south and expanded in the north, and 60% of mountain plant species may face extinction. The rate of change will exceed the ability of many species to adapt. (2) Concerning plant phenology, the timing of seasonal events in plants is changing across Europe due to changes in climate conditions. For instance, 78% of leaf unfolding and flowering records show advancing trends. Between 1971 and 2000, the average advance of spring and summer was 2.5 days per decade. The pollen season starts on average 10 days earlier and is longer than 50 years ago. Trends in seasonal events will continue to advance as climate warming increases in the years and decades to come. (3) Concerning the distribution of animal species, Europe's birds, insects, and mammals are moving northwards and uphill in response to observed climate change. Rate of climate change, habitat fragmentation and other obstacles will impede the movement of many animal species. Distribution changes are projected to continue. Suitable climatic conditions for Europe's breeding birds are projected to shift nearly 550 km northeast by the end of the century. Projections for 120 native European mammals suggest that up to 9% face extinction during the 21st century. (4) Concerning animal phenology, climatic warming has caused advancement in the life cycles of many animal groups, including frogs spawning, birds nesting and the arrival of migrant birds and butterflies. Seasonal advancement is particularly strong and rapid in the Arctic. Breeding seasons are lengthening, allowing extra generations of temperature-sensitive insects such as butterflies, dragonflies and pest species to be produced during the year. These trends are projected to continue as climate warming increases in the decades to come. Populations may explode if the young are not exposed to normal predation pressures. Conversely, populations may crash if the emergence of vulnerable young is not in synchrony with their main food source or if shorter hibernation times lead to declines in body condition. \textcopyright 2009 INRA EDP Sciences.","Amphibian,Animal,Biodiversity,Bird,Butterfly,Climate change,Insect,Leafing date,Phenology,Plant,Pollen season,Reptile,Scopus,Temperature",,
Journal Article,"Campbell L,Luo J,Mercer K","Effect of water availability and genetic diversity on flowering phenology, synchrony, and reproductive investment in maize",Maydica,2014,59,3,283-289,,,2014,,2279-8013,,,,"Crop yield of monoecious species like maize (Zea mays L) relies on simultaneous flowering of male and female inflorescences to ensure pollination. Yet productivity may be reduced if environmental conditions reduce floral synchrony or if plants within a field do not overlap sufficiently in flowering periods. We experimentally manipulated water availability and measured its effect on flowering, including the anthesis-silking interval (ASI) and crop yield components in open-pollinated (OP) and hybrid corn cultivars. Although watering treatments did not affect traits, we detected cultivar-specific phenological and yield responses. Hybrid plants were earlier to silk than OP plants, which tasseled for longer, had a longer ASI, and lower yield components. The less diverse hybrids also expressed less variation in ASI. We suspect other methods for reducing moisture in the field, including earlier moisture removal, might have better elicited a biological response in maize. Nevertheless, because shorter ASI is genetically correlated with increased drought tolerance, we predict this hybrid may be more resilient than the OP under more extreme drought scenarios. Consideration for how genetic diversity found in OP varieties and crop landraces may respond to variation in moisture availability apparent with climate change may be warranted.","Anthesis-silking interval,Corn,Drought tolerance,Reproductive development,Scopus,Yield loss",,
Journal Article,"Hall ES,Piedrahita LR,Kendziorski G,Waddle E,Doak DF,DeMarche ML",Climate and synchrony with conspecifics determine the effects of flowering phenology on reproductive success in Silene acaulis,"Arctic, Antarctic, and Alpine Research",2018,50,1,,,,2018,,1938-4246,http://dx.doi.org/10.1080/15230430.2018.1548866,10.1080/15230430.2018.1548866,,"Changes in flowering phenology resulting from climate change could impact individual plant fitness and population viability. Flowering phenology can mediate plant reproductive success in several ways, including pollinator interactions, flowering synchrony with conspecifics, and timing of suitable abiotic conditions. We explored factors that control phenology and reproductive success for an alpine cushion plant, Silene acaulis, across two years and four sites, totaling 1,123 plants, in Colorado, USA. We investigated relationships between flowering time, flowering synchrony, and reproductive success with local abiotic conditions and pollinator behavior. Mean flowering phenology was strongly correlated with the timing of snowmelt across sites and years. Relative to mean flowering times, earlier flowering plants generally produced more flowers and experienced greater soil moisture during flowering but reduced synchrony with conspecifics. Fruit set tended to increase with greater soil moisture, synchrony during flowering, and earlier flowering times. Pollinator visitation increased with local Silene flower density. Earlier snowmelt and drier conditions later in the season favor earlier flowering, but these effects are partially counteracted by the positive effects of synchrony, perhaps because of changes in pollinator visitation. Overall, while both biotic and abiotic effects influence reproductive success, late-season drought may outweigh the benefits of flowering synchrony to increasingly favor earlier flowering.","Phenology,Scopus,Silene acaulis,climate change,flowering synchrony,pollination",,
