ID_AR,DOI,author,year,reader,database,type of study,pdf,country,locality,latitude,longitude,hemisphere,vegetation_type,pollinator,spp_nb,family_nb,indiv_nb,study_length,censusfreq,herbs,shrub,trees,grass,sampling_method,climate_variable,direct,individuals,floristic_survey,litter_traps,other_methods,flowering,flowers number,fruting,leaf_flush,leaf_fall,presence_absence,fournier,counts,biomass,classes,mismatch effect,pollinator emergence
1,10.1002/ajb2.1387,"Nagahama A,Yahara T",2019,Ian,WOS,case study,ok,Japan,"Biodiversity reserve of Ito, Fukuoka, Japan.",33°35′47.5′′N,130°12′50.0′′E,Northern,warm-temperate forest,insects,48,24,640, two years (spring and summer of 2016 and 2017),once a week,x,-,x,-,observation,temperature,x,x,-,-,-,x,-,-,-,-,x,-,-,-,flowered or not,possible temporal mismatch betwen pollinator and plant,-
2,10.1002/eap.2583,"Bloom TD,O'Leary DS,Riginos C",2022,Ian,Scopus_WOS,case study,ok,United States,Yellowstone National Park,x,x,Northern,Montane Sagebrush steppe,not reported,51,-,-,"four years (spring and summer of 2016,2017,2018,2019)",twice a week,-,x,-,-,observation,temperature,x,-,,-,-,x,-,-,-,-,-,-,-,-,flowered or not,earlier flowering,-
3,10.1002/ece3.3272,"Kettenbach JA,Miller-Struttmann N,Moffett Z,Galen C",2017,Ian,WOS,case study,ok,United States,"Pennsylvania Mountain Natural Area,Hoosier Pass West, Hoosier Pass East,Weston Pass",39.253539′N,106.121690′W,Northern,"willow-spruce
mosaic (krummholz) at tree-line
to dry alpine meadows",bees (Bumblebees),5,2,,two years ( 1 June–31 July of 2015 and 2016),not aply,x,,x,,herbarium,temperature,x,x,x,-,digital herbarium records,x,-,x,-,-,x,-,-,-,seeds per flower,fitness reducing by pollen contamination,-
4,10.1002/ece3.7616,"Villagomez GN,Nürnberger F,Requier F,Schiele S,Steffan-Dewenter I",2021,Ian,Scopus,methodology,ok,Germany,"Würzburg, Germany",-,-,Northern,Not informed,bees (Honey bees),1,1,16,five months ( 14 november 2016- 14 april2017),not aply,x,-,-,-,"Temperature review, observation of flowering in door, monitoring managed bees",light and temperaure,x,-,-,-,-,x,-,-,-,-,x,-,-,-,flowred or not,,-
5,10.1002/ecs2.1267,"Pyke GH,Thomson JD,Inouye DW,Miller TJ",2016,Ian,Scopus_WOS,case study,ok,United States,"Rocky Mountain Biological Laboratory (RMBL) in
Colorado, USA",-,-,Northern,Montane Sagebrush steppe,bees (Bumblebees),12,not reported,not reported,two and a half months ( 20 june to 8 August),avery 6 days,-,x,-,-,observation,not aply,x,-,-,-,-,x,-,-,,,-,-,-,-,flowered or not,"decreased seasonal
synchrony between bumble bees and community
flowering, and decreased bumble bee abundance.",x
6,10.1002/ecy.1996,"Theobald EJ,Breckheimer I,HilleRisLambers J",2017,Ian,Scopus_WOS,case study,ok,United States,"Mount Rainier National Park, Washington,USA",46.8529° N,21.7604° W,Northern,"coniferous forests at
lower elevations (<1,450 m), subalpine wildflower meadows
at mid-elevations (1,450–1,900 m),",not reported,48,not reported,not reported,six years,"once a week,from approximately the time of snow disappearance to
the time of each species’ fruit dispersal or the time of
snow fall",-,-,-,-,observation,"Flowering sensitivity to snowmelt, soil moisture, and growing
degree days",x,-,x,-,-,x,-,x,,,x,-,-,-,flowered or not,"Innetworks of interacting species, such as plant-pollinator
networks, this has the potential to alter or disrupt species
interactions, with implications for both parties.",-
7,10.1002/ecy.3162,"Maglianesi MA,Hanson P,Brenes E,Benadi G,Schleuning M,Dalsgaard B",2020,Ian,Scopus_WOS,case study,ok,Costa Rica,"central–southern Costa
Rica on the Caribbean and Pacific slopes of the Talamanca
mountains",09°60’ N, 83°76’ W,Northern,Páramo,Hummingbirds and insects 39sp,59,not reported,not reported,January to December 2016.,every day during 12 days per site,x,x,-,x,observation and mist nesting,not included,x,-,x,-,-,x,x,-,,,-,-,x,-,flowered or not,"suggest an increased vulnerability
of specialized pollinator species to mutualistic disruption,
because of high levels of phenological asynchrony",hummingbirds captured with mist nesting. insects areavaluatedwith nuumber of interactions with flowers
8,10.1007/978-1-4614-7501-9,Gallery RE,2014,Ian,Scopus,,ok,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.1007/978-81-322-0974-4,"Singh HC,Shivashankara KS,Rao NK",2013,Ian,Scopus,,não,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.1007/s00442-019-04377-1,"Nürnberger F,Härtel S,Steffan-Dewenter I",2019,Ian,Scopus,case study,ok,Germany,"region in the northeast of Bavaria, Germany,",50°8′N,", 11°52E",Northen,Not informed,Bee (Honey bee),not reported,not reported,not reported,one year 2013 to 2014,"plant phenology measured every
2 weeks between 1 April 2014 and 14 June 2014",-,-,-,-,observation,altitude,x,-,-,-,using imagEs of Gis to determine bloom areas,x,-,-,,,x,-,-,x,"flowered or not, area in bloom per total area","No negative effect. The apparent plasticity and
genetic variability of honey bee phenology may safeguard
the adaptation to changing conditions.",-
